Epoch [10/100] Step [180]  lossD: 0.6615  lossG: 2.8910  L1: 0.0399  Adv: 0.8970
Epoch [11/100] Step [0]  lossD: 0.6480  lossG: 2.8961  L1: 0.0407  Adv: 0.8610
Epoch [11/100] Step [20]  lossD: 0.6806  lossG: 2.8926  L1: 0.0434  Adv: 0.7215
Epoch [11/100] Step [40]  lossD: 0.6037  lossG: 3.1829  L1: 0.0447  Adv: 0.9461
Epoch [11/100] Step [60]  lossD: 0.6078  lossG: 2.9696  L1: 0.0423  Adv: 0.8522
Epoch [11/100] Step [80]  lossD: 0.6937  lossG: 2.6932  L1: 0.0377  Adv: 0.8083
Epoch [11/100] Step [100]  lossD: 0.6516  lossG: 2.7567  L1: 0.0369  Adv: 0.9100
Epoch [11/100] Step [120]  lossD: 0.6925  lossG: 2.4493  L1: 0.0326  Adv: 0.8203
Epoch [11/100] Step [140]  lossD: 0.7704  lossG: 2.8080  L1: 0.0412  Adv: 0.7489
Epoch [11/100] Step [160]  lossD: 0.5813  lossG: 2.8962  L1: 0.0410  Adv: 0.8451
Epoch [11/100] Step [180]  lossD: 0.5958  lossG: 2.7931  L1: 0.0392  Adv: 0.8350
Epoch [12/100] Step [0]  lossD: 0.6620  lossG: 2.7392  L1: 0.0378  Adv: 0.8475
Epoch [12/100] Step [20]  lossD: 0.6428  lossG: 2.9184  L1: 0.0425  Adv: 0.7926
Epoch [12/100] Step [40]  lossD: 0.5549  lossG: 3.2821  L1: 0.0459  Adv: 0.9865
Epoch [12/100] Step [60]  lossD: 0.6780  lossG: 2.8039  L1: 0.0377  Adv: 0.9175
Epoch [12/100] Step [80]  lossD: 0.7063  lossG: 2.5737  L1: 0.0359  Adv: 0.7773
Epoch [12/100] Step [100]  lossD: 0.6931  lossG: 2.7792  L1: 0.0370  Adv: 0.9315
Epoch [12/100] Step [120]  lossD: 0.6678  lossG: 2.8245  L1: 0.0414  Adv: 0.7539
Epoch [12/100] Step [140]  lossD: 0.6820  lossG: 2.6069  L1: 0.0401  Adv: 0.6024
Epoch [12/100] Step [160]  lossD: 0.6677  lossG: 2.9021  L1: 0.0391  Adv: 0.9477
Epoch [12/100] Step [180]  lossD: 0.6486  lossG: 2.6774  L1: 0.0378  Adv: 0.7891
Epoch [13/100] Step [0]  lossD: 0.6180  lossG: 3.0946  L1: 0.0460  Adv: 0.7926
Epoch [13/100] Step [20]  lossD: 0.6300  lossG: 3.1048  L1: 0.0454  Adv: 0.8359
Epoch [13/100] Step [40]  lossD: 0.6214  lossG: 3.1612  L1: 0.0448  Adv: 0.9218
Epoch [13/100] Step [60]  lossD: 0.6922  lossG: 2.9347  L1: 0.0424  Adv: 0.8161
Epoch [13/100] Step [80]  lossD: 0.7067  lossG: 2.7159  L1: 0.0389  Adv: 0.7716
Epoch [13/100] Step [100]  lossD: 0.7352  lossG: 2.7976  L1: 0.0421  Adv: 0.6946
Epoch [13/100] Step [120]  lossD: 0.5780  lossG: 2.8176  L1: 0.0375  Adv: 0.9449
Epoch [13/100] Step [140]  lossD: 0.7057  lossG: 2.1699  L1: 0.0326  Adv: 0.5408
Epoch [13/100] Step [160]  lossD: 0.6433  lossG: 2.8213  L1: 0.0385  Adv: 0.8976
Epoch [13/100] Step [180]  lossD: 0.6800  lossG: 2.9471  L1: 0.0436  Adv: 0.7657
Epoch [14/100] Step [0]  lossD: 0.7333  lossG: 2.7648  L1: 0.0413  Adv: 0.7015
Epoch [14/100] Step [20]  lossD: 0.6715  lossG: 2.5489  L1: 0.0361  Adv: 0.7458
Epoch [14/100] Step [40]  lossD: 0.6908  lossG: 2.8475  L1: 0.0410  Adv: 0.7985
Epoch [14/100] Step [60]  lossD: 0.6799  lossG: 2.8244  L1: 0.0431  Adv: 0.6703
Epoch [14/100] Step [80]  lossD: 0.6350  lossG: 3.0518  L1: 0.0440  Adv: 0.8537
Epoch [14/100] Step [100]  lossD: 0.6604  lossG: 2.8796  L1: 0.0423  Adv: 0.7650
Epoch [14/100] Step [120]  lossD: 0.6836  lossG: 2.4969  L1: 0.0352  Adv: 0.7384
Epoch [14/100] Step [140]  lossD: 0.7043  lossG: 3.0161  L1: 0.0464  Adv: 0.6975
Epoch [14/100] Step [160]  lossD: 0.6866  lossG: 2.6762  L1: 0.0382  Adv: 0.7658
Epoch [14/100] Step [180]  lossD: 0.6835  lossG: 3.3333  L1: 0.0498  Adv: 0.8446
Epoch [15/100] Step [0]  lossD: 0.6921  lossG: 2.6751  L1: 0.0379  Adv: 0.7785
Epoch [15/100] Step [20]  lossD: 0.7208  lossG: 2.5676  L1: 0.0361  Adv: 0.7640
Epoch [15/100] Step [40]  lossD: 0.6148  lossG: 2.5276  L1: 0.0339  Adv: 0.8323
Epoch [15/100] Step [60]  lossD: 0.6442  lossG: 2.7537  L1: 0.0387  Adv: 0.8189
Epoch [15/100] Step [80]  lossD: 0.6721  lossG: 3.1742  L1: 0.0463  Adv: 0.8568
Epoch [15/100] Step [100]  lossD: 0.6698  lossG: 2.8076  L1: 0.0382  Adv: 0.8966
Epoch [15/100] Step [120]  lossD: 0.5479  lossG: 3.2996  L1: 0.0451  Adv: 1.0440
Epoch [15/100] Step [140]  lossD: 0.7374  lossG: 2.8882  L1: 0.0453  Adv: 0.6245
Epoch [15/100] Step [160]  lossD: 0.6896  lossG: 2.7199  L1: 0.0387  Adv: 0.7863
Epoch [15/100] Step [180]  lossD: 0.7134  lossG: 2.4139  L1: 0.0359  Adv: 0.6194
Epoch [16/100] Step [0]  lossD: 0.6504  lossG: 2.7216  L1: 0.0399  Adv: 0.7279
Epoch [16/100] Step [20]  lossD: 0.5760  lossG: 3.0640  L1: 0.0421  Adv: 0.9600
Epoch [16/100] Step [40]  lossD: 0.7303  lossG: 2.7407  L1: 0.0376  Adv: 0.8607
Epoch [16/100] Step [60]  lossD: 0.6485  lossG: 2.4770  L1: 0.0359  Adv: 0.6803
Epoch [16/100] Step [80]  lossD: 0.6045  lossG: 3.2901  L1: 0.0488  Adv: 0.8518
Epoch [16/100] Step [100]  lossD: 0.6885  lossG: 2.7934  L1: 0.0376  Adv: 0.9143
Epoch [16/100] Step [120]  lossD: 0.6895  lossG: 2.8263  L1: 0.0408  Adv: 0.7855
Epoch [16/100] Step [140]  lossD: 0.7471  lossG: 2.8510  L1: 0.0419  Adv: 0.7573
Epoch [16/100] Step [160]  lossD: 0.6299  lossG: 2.5927  L1: 0.0369  Adv: 0.7479
Epoch [16/100] Step [180]  lossD: 0.6298  lossG: 2.9878  L1: 0.0444  Adv: 0.7658
Epoch [17/100] Step [0]  lossD: 0.6441  lossG: 3.4942  L1: 0.0509  Adv: 0.9512
Epoch [17/100] Step [20]  lossD: 0.6622  lossG: 2.4814  L1: 0.0344  Adv: 0.7604
Epoch [17/100] Step [40]  lossD: 0.6669  lossG: 2.3338  L1: 0.0336  Adv: 0.6545
Epoch [17/100] Step [60]  lossD: 0.7445  lossG: 2.7155  L1: 0.0390  Adv: 0.7658
Epoch [17/100] Step [80]  lossD: 0.6722  lossG: 2.7461  L1: 0.0380  Adv: 0.8442
Epoch [17/100] Step [100]  lossD: 0.6417  lossG: 2.7424  L1: 0.0399  Adv: 0.7498
Epoch [17/100] Step [120]  lossD: 0.6300  lossG: 2.8385  L1: 0.0399  Adv: 0.8434
Epoch [17/100] Step [140]  lossD: 0.6127  lossG: 2.8138  L1: 0.0418  Adv: 0.7245
Epoch [17/100] Step [160]  lossD: 0.6389  lossG: 2.9071  L1: 0.0382  Adv: 0.9991
Epoch [17/100] Step [180]  lossD: 0.6760  lossG: 2.8834  L1: 0.0422  Adv: 0.7726
Epoch [18/100] Step [0]  lossD: 0.6676  lossG: 2.4870  L1: 0.0349  Adv: 0.7406
Epoch [18/100] Step [20]  lossD: 0.6830  lossG: 2.3593  L1: 0.0324  Adv: 0.7396
Epoch [18/100] Step [40]  lossD: 0.6565  lossG: 2.8808  L1: 0.0396  Adv: 0.9024
Epoch [18/100] Step [60]  lossD: 0.6709  lossG: 2.7288  L1: 0.0377  Adv: 0.8444
Epoch [18/100] Step [80]  lossD: 0.6335  lossG: 3.0752  L1: 0.0445  Adv: 0.8505
Epoch [18/100] Step [100]  lossD: 0.6678  lossG: 3.3180  L1: 0.0509  Adv: 0.7719
Epoch [18/100] Step [120]  lossD: 0.6707  lossG: 3.2435  L1: 0.0441  Adv: 1.0392
Epoch [18/100] Step [140]  lossD: 0.6571  lossG: 2.8401  L1: 0.0390  Adv: 0.8904
Epoch [18/100] Step [160]  lossD: 0.6486  lossG: 2.5023  L1: 0.0371  Adv: 0.6481
Epoch [18/100] Step [180]  lossD: 0.7015  lossG: 2.6330  L1: 0.0373  Adv: 0.7678
Epoch [19/100] Step [0]  lossD: 0.6444  lossG: 2.7293  L1: 0.0381  Adv: 0.8259
Epoch [19/100] Step [20]  lossD: 0.6663  lossG: 2.7699  L1: 0.0403  Adv: 0.7557
Epoch [19/100] Step [40]  lossD: 0.7212  lossG: 2.4111  L1: 0.0332  Adv: 0.7501
Epoch [19/100] Step [60]  lossD: 0.6214  lossG: 2.7813  L1: 0.0385  Adv: 0.8544
Epoch [19/100] Step [80]  lossD: 0.6361  lossG: 2.6579  L1: 0.0373  Adv: 0.7918
Epoch [19/100] Step [100]  lossD: 0.6664  lossG: 2.4720  L1: 0.0332  Adv: 0.8142
Epoch [19/100] Step [120]  lossD: 0.6293  lossG: 3.2900  L1: 0.0481  Adv: 0.8862
Epoch [19/100] Step [140]  lossD: 0.7081  lossG: 2.7653  L1: 0.0409  Adv: 0.7196
Epoch [19/100] Step [160]  lossD: 0.5802  lossG: 2.7119  L1: 0.0373  Adv: 0.8465
Epoch [19/100] Step [180]  lossD: 0.5743  lossG: 2.8127  L1: 0.0397  Adv: 0.8301
Epoch [20/100] Step [0]  lossD: 0.7755  lossG: 2.6591  L1: 0.0397  Adv: 0.6748
Epoch [20/100] Step [20]  lossD: 0.6293  lossG: 2.6925  L1: 0.0363  Adv: 0.8765
Epoch [20/100] Step [40]  lossD: 0.6645  lossG: 2.7033  L1: 0.0385  Adv: 0.7790
Epoch [20/100] Step [60]  lossD: 0.6996  lossG: 2.5138  L1: 0.0356  Adv: 0.7351
